Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core:Source,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Narrows, VA by Rusty Wilburn",443,http://mappalachia.org/pictures/gallery/full_size/map_443.jpg,Rusty Wilburn,1971,Giles,"Narrows, VA",Berea College Special Collections and Archives,Rights Reserved by: Rusty Wilburn,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3315103,-80.8111866,10,,
"Buchanan, VA by Sandy Fix",444,http://mappalachia.org/pictures/gallery/full_size/map_444.jpg,Sandy Fix,1971,Botetourt,"Buchanan, VA",Berea College Special Collections and Archives,Rights Reserved by: Sandy Fix,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5273566,-79.6797614,10,,
"Wytheville, VA by Sandy Walke",445,http://mappalachia.org/pictures/gallery/full_size/map_445.jpg,Sandy Walke,1971,Wythe,"Wytheville, VA",Berea College Special Collections and Archives,Rights Reserved by: Sandy Walke,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9484528,-81.084811,10,,
"Sweetwater, TN by Shelia Frye",446,http://mappalachia.org/pictures/gallery/full_size/map_446.jpg,Shelia Frye,1971,Monroe & McMinn,"Sweetwater, TN",Berea College Special Collections and Archives,Rights Reserved by: Shelia Frye,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.6014636,-84.4610394,10,,
"Elkins, WV by Susie Madden",447,http://mappalachia.org/pictures/gallery/full_size/map_447.jpg,Susie Madden,1971,Randolph,"Elkins, WV",Berea College Special Collections and Archives,Rights Reserved by: Susie Madden,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.9259397,-79.8467349,10,,
"St. Clairville, OH by Tom Markland",448,http://mappalachia.org/pictures/gallery/full_size/map_448.jpg,Tom Markland,1971,Belmont,"St. Clairville, OH",Berea College Special Collections and Archives,Rights Reserved by: Tom Markland,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,40.0803199,-80.90176,10,,
"Blountville, TN by William Stine",449,http://mappalachia.org/pictures/gallery/full_size/map_449.jpg,William Stine,1971,Sullivan,"Blountville, TN",Berea College Special Collections and Archives,Rights Reserved by: William Stine,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.5331586,-82.326806,10,,
"Franklin, NC by Aaron Philips",450,http://mappalachia.org/pictures/gallery/full_size/map_450.jpg,Aaron Philips,1971,Macon,"Franklin, NC",Berea College Special Collections and Archives,Rights Reserved by: Aaron Philips,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.1823171,-83.3815429,10,,
"Blount, AL by Bobby S. Parsons",451,http://mappalachia.org/pictures/gallery/full_size/map_451.jpg,Bobby S. Parsons,1957,Blountville,"Blount, AL",Berea College Special Collections and Archives,Rights Reserved by: Bobby S. Parsons,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.0814863,-86.5911026,10,,
"Somerset, KY by Hollis Flynn",452,http://mappalachia.org/pictures/gallery/full_size/map_452.jpg,Hollis Flynn,1957,Pulaski,"Somerset, KY",Berea College Special Collections and Archives,Rights Reserved by: Hollis Flynn,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0920222,-84.6041084,10,,
