Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core:Source,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Rockwood, PA by Emily Sautter",5,http://mappalachia.org/pictures/gallery/full_size/map_5.jpg,Emily Sautter,1991,Somerset,"Rockwood, PA",Berea College Special Collections and Archives,Rights Reserved by: Emily Sautter,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.9182845,-79.1570513,10,,
"Asheville, NC by Janet Longley",112,http://mappalachia.org/pictures/gallery/full_size/map_112.jpg,Janet Longley,1989,Buncombe,"Asheville, NC",Berea College Special Collections and Archives,Rights Reserved by: Janet Longley,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5950581,-82.5514869,10,,
"Fayette, WV by Danny Linkenhoker",115,http://mappalachia.org/pictures/gallery/full_size/map_115.jpg,Danny Linkenhoker,1966,Ansted,"Fayette, WV",Berea College Special Collections and Archives,Rights Reserved by: Danny Linkenhoker,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1362201,-81.0995479,10,,
"Crossnore, NC by Donna Janelle Stanley",116,http://mappalachia.org/pictures/gallery/full_size/map_116.jpg,Donna Janelle Stanley,1966,Avery,"Crossnore, NC",Berea College Special Collections and Archives,Rights Reserved by: Donna Janelle Stanley,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0217938,-81.9295579,10,,
"Kingsport, TN by Fran Alley",117,http://mappalachia.org/pictures/gallery/full_size/map_117.jpg,Fran Alley,1966,Sullivan,"Kingsport, TN",Berea College Special Collections and Archives,Rights Reserved by: Fran Alley,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.5537484,-82.5147642,10,,
"Hurricane Creek, KY by Jo Ann Pace",118,http://mappalachia.org/pictures/gallery/full_size/map_118.jpg,Jo Ann Pace,1966,Leslie,"Hurricane Creek, KY",Berea College Special Collections and Archives,Rights Reserved by: Jo Ann Pace,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0698286,-83.3789389,10,,
"Berea, KY by John Combs",119,http://mappalachia.org/pictures/gallery/full_size/map_119.jpg,John Combs,1966,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: John Combs,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Hazard, KY by John Johnson",120,http://mappalachia.org/pictures/gallery/full_size/map_120.jpg,John Johnson,,Perry,"Hazard, KY",Berea College Special Collections and Archives,Rights Reserved by: John Johnson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,
"Springfield, KY by Linda Alder",121,http://mappalachia.org/pictures/gallery/full_size/map_121.jpg,Linda Alder,1966,Washington,"Springfield, KY",Berea College Special Collections and Archives,Rights Reserved by: Linda Alder,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6853413,-85.2221819,10,,
"Westmoreland, WV by Linda Ann Crawford",122,http://mappalachia.org/pictures/gallery/full_size/map_122.jpg,Linda Ann Crawford,1966,Wayne,"Westmoreland, WV",Berea College Special Collections and Archives,Rights Reserved by: Linda Ann Crawford,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4006379,-82.5121008,10,,
"Ripley, NY by Mary Knight",123,http://mappalachia.org/pictures/gallery/full_size/map_123.jpg,Mary Knight,1966,Chautauqua,"Ripley, NY",Berea College Special Collections and Archives,Rights Reserved by: Mary Knight,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,42.22606,-79.7175517,10,,
"Westminster, SC by Monte Smith",124,http://mappalachia.org/pictures/gallery/full_size/map_124.jpg,Monte Smith,1966,Oconee,"Westminster, SC",Berea College Special Collections and Archives,Rights Reserved by: Monte Smith,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.6648197,-83.0965425,10,,
"Berea, KY by Neal L. Craig",125,http://mappalachia.org/pictures/gallery/full_size/map_125.jpg,Neal L. Craig,1966,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Neal L. Craig,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Richmond, KY by Oruie",126,http://mappalachia.org/pictures/gallery/full_size/map_126.jpg,Oruie,1966,Madison,"Richmond, KY",Berea College Special Collections and Archives,Rights Reserved by: Oruie,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7478572,-84.2946539,10,,
"Oak Ridge, TN by Peggy E. Sisson",127,http://mappalachia.org/pictures/gallery/full_size/map_127.jpg,Peggy E. Sisson,1966,Anderson; Roane,"Oak Ridge, TN",Berea College Special Collections and Archives,Rights Reserved by: Peggy E. Sisson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0103561,-84.2696449,10,,
"Dante, VA by Ray Herndon",128,http://mappalachia.org/pictures/gallery/full_size/map_128.jpg,Ray Herndon,1966,Russel,"Dante, VA",Berea College Special Collections and Archives,Rights Reserved by: Ray Herndon,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9784384,-82.2976424,10,,
"Negro Creek, KY by Roger Benge",129,http://mappalachia.org/pictures/gallery/full_size/map_129.jpg,Roger Benge,1966,Rockcastle,"Negro Creek, KY",Berea College Special Collections and Archives,Rights Reserved by: Roger Benge,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3881788,-84.4560407,10,,
"Narrows, VA by Ron Richardson",130,http://mappalachia.org/pictures/gallery/full_size/map_130.jpg,Ron Richardson,1966,Giles,"Narrows, VA",Berea College Special Collections and Archives,Rights Reserved by: Ron Richardson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3315103,-80.8111866,10,,
"Shady Spring, WV by Terry Taylor",131,http://mappalachia.org/pictures/gallery/full_size/map_131.jpg,Terry Taylor,1966,Raleigh,"Shady Spring, WV",Berea College Special Collections and Archives,Rights Reserved by: Terry Taylor,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7056722,-81.0984293,10,,
"Whitesburg, KY by William Ralph Adams",132,http://mappalachia.org/pictures/gallery/full_size/map_132.jpg,William Ralph Adams,1966,Letcher,"Whitesburg, KY",Berea College Special Collections and Archives,Rights Reserved by: William Ralph Adams,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1184318,-82.8268265,10,,
"Martinsville, VA by Betsy Hodges",133,http://mappalachia.org/pictures/gallery/full_size/map_133.jpg,Betsy Hodges,1967,Henry,"Martinsville, VA",Berea College Special Collections and Archives,Rights Reserved by: Betsy Hodges,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6588867,-79.9640339,10,,
"Day, KY by Randall Day",134,http://mappalachia.org/pictures/gallery/full_size/map_134.jpg,Randall Day,,Letcher,"Day, KY",Berea College Special Collections and Archives,Rights Reserved by: Randall Day,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0714858,-82.8465494,10,,
"Berea; Big Hill, KY by Ray Gabbard",135,http://mappalachia.org/pictures/gallery/full_size/map_135.jpg,Ray Gabbard,1961,Madison,"Berea; Big Hill, KY",Berea College Special Collections and Archives,Rights Reserved by: Ray Gabbard,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Pennington Gap, VA by Robert Cooper",136,http://mappalachia.org/pictures/gallery/full_size/map_136.jpg,Robert Cooper,,Lee,"Pennington Gap, VA",Berea College Special Collections and Archives,Rights Reserved by: Robert Cooper,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7584219,-83.0271115,10,,
"Berea, KY by Roemelle Stivers",137,http://mappalachia.org/pictures/gallery/full_size/map_137.jpg,Roemelle Stivers,1950,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Roemelle Stivers,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Clintwood, VA by Ronald Kenndy",138,http://mappalachia.org/pictures/gallery/full_size/map_138.jpg,Ronald Kenndy,,Dickenson,"Clintwood, VA",Berea College Special Collections and Archives,Rights Reserved by: Ronald Kenndy,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1501067,-82.4559845,10,,
"North Matewan, WV by Ron Estepp",139,http://mappalachia.org/pictures/gallery/full_size/map_139.jpg,Ron Estepp,,Mingo,"North Matewan, WV",Berea College Special Collections and Archives,Rights Reserved by: Ron Estepp,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6264937,-82.1481884,10,,
"Jenkins, KY by Rozella Sturgill",140,http://mappalachia.org/pictures/gallery/full_size/map_140.jpg,Rozella Sturgill,1956,Letcher,"Jenkins, KY",Berea College Special Collections and Archives,Rights Reserved by: Rozella Sturgill,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1734372,-82.6309892,10,,
"Asheville, NC by Russel Moneyham",141,http://mappalachia.org/pictures/gallery/full_size/map_141.jpg,Russel Moneyham,,Buncombe,"Asheville, NC",Berea College Special Collections and Archives,Rights Reserved by: Russel Moneyham,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5950581,-82.5514869,10,,
"Louisa, KY by Patty Frasher",142,http://mappalachia.org/pictures/gallery/full_size/map_142.jpg,Patty Frasher,1949,Lawrence,"Louisa, KY",Berea College Special Collections and Archives,Rights Reserved by: Patty Frasher,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1142544,-82.6032119,10,,
"Keyser, KY by William Bishoff",143,http://mappalachia.org/pictures/gallery/full_size/map_143.jpg,William Bishoff,1949,Mineral,"Keyser, KY",Berea College Special Collections and Archives,Rights Reserved by: William Bishoff,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.4409277,-78.9739156,10,,
"Looneyville, WV by Anabelle Boggs",144,http://mappalachia.org/pictures/gallery/full_size/map_144.jpg,Anabelle Boggs,1950,Roane,"Looneyville, WV",Berea College Special Collections and Archives,Rights Reserved by: Anabelle Boggs,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.664537,-81.3031742,10,,
"Adams, KY by Betty Joanne Ball",145,http://mappalachia.org/pictures/gallery/full_size/map_145.jpg,Betty Joanne Ball,1950,Lawrence,"Adams, KY",Berea College Special Collections and Archives,Rights Reserved by: Betty Joanne Ball,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.0675555,-118.4066445,10,,
"Prestonsburg, VA by Gene Boyd",146,http://mappalachia.org/pictures/gallery/full_size/map_146.jpg,Gene Boyd,1950,Floyed,"Prestonsburg, VA",Berea College Special Collections and Archives,Rights Reserved by: Gene Boyd,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7281336,-82.7620969,10,,
"Crossnore, NC by Herman Dellinger",147,http://mappalachia.org/pictures/gallery/full_size/map_147.jpg,Herman Dellinger,1950,Avery,"Crossnore, NC",Berea College Special Collections and Archives,Rights Reserved by: Herman Dellinger,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0217938,-81.9295579,10,,
"Candler, NC by James Leatherwood",148,http://mappalachia.org/pictures/gallery/full_size/map_148.jpg,James Leatherwood,1950,Buncombe,"Candler, NC",Berea College Special Collections and Archives,Rights Reserved by: James Leatherwood,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5360973,-82.6927363,10,,
"Speedwell, TN by Lula Mae Bruce",149,http://mappalachia.org/pictures/gallery/full_size/map_149.jpg,Lula Mae Bruce,1950,Claiborne,"Speedwell, TN",Berea College Special Collections and Archives,Rights Reserved by: Lula Mae Bruce,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.4586902,-83.8718624,10,,
"Candler, NC by Mary Jane Leatherwood",150,http://mappalachia.org/pictures/gallery/full_size/map_150.jpg,Mary Jane Leatherwood,1950,Buncombe,"Candler, NC",Berea College Special Collections and Archives,Rights Reserved by: Mary Jane Leatherwood,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5360973,-82.6927363,10,,
"Hiltons, VA by William L. Cartes",151,http://mappalachia.org/pictures/gallery/full_size/map_151.jpg,William L. Cartes,1950,Scott,"Hiltons, VA",Berea College Special Collections and Archives,Rights Reserved by: William L. Cartes,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6545454,-82.4670941,10,,
"Bayard, WV by George Fulk",152,http://mappalachia.org/pictures/gallery/full_size/map_152.jpg,George Fulk,1951,Grant,"Bayard, WV",Berea College Special Collections and Archives,Rights Reserved by: George Fulk,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.2728826,-79.3644902,10,,
"Cartersville, GA by Gwen Lanier",153,http://mappalachia.org/pictures/gallery/full_size/map_153.jpg,Gwen Lanier,1951,Bartow,"Cartersville, GA",Berea College Special Collections and Archives,Rights Reserved by: Gwen Lanier,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.1650972,-84.7999382,10,,
"Brodhead, KY by Janet Albright",154,http://mappalachia.org/pictures/gallery/full_size/map_154.jpg,Janet Albright,1951,Rockcastle,"Brodhead, KY",Berea College Special Collections and Archives,Rights Reserved by: Janet Albright,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4042496,-84.4138259,10,,
"Black Mountain, NC by Joan Drake",155,http://mappalachia.org/pictures/gallery/full_size/map_155.jpg,Joan Drake,1951,Buncombe,"Black Mountain, NC",Berea College Special Collections and Archives,Rights Reserved by: Joan Drake,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.6178951,-82.3212302,10,,
"Oak Ridge, WV by Josephine Kiti",156,http://mappalachia.org/pictures/gallery/full_size/map_156.jpg,Josephine Kiti,1951,Anderson; Roane,"Oak Ridge, WV",Berea College Special Collections and Archives,Rights Reserved by: Josephine Kiti,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0103561,-84.2696449,10,,
"Forest City, NC by Leona M. Dobbins",157,http://mappalachia.org/pictures/gallery/full_size/map_157.jpg,Leona M. Dobbins,1951,Rutherford,"Forest City, NC",Berea College Special Collections and Archives,Rights Reserved by: Leona M. Dobbins,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.3340108,-81.8651028,10,,
"Summersville, WV by Marian McClung",158,http://mappalachia.org/pictures/gallery/full_size/map_158.jpg,Marian McClung,1951,Nicholas,"Summersville, WV",Berea College Special Collections and Archives,Rights Reserved by: Marian McClung,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.2812203,-80.8525981,10,,
"Stevenson, AL by Mary Catherine Bramlett",159,http://mappalachia.org/pictures/gallery/full_size/map_159.jpg,Mary Catherine Bramlett,1951,Jackson,"Stevenson, AL",Berea College Special Collections and Archives,Rights Reserved by: Mary Catherine Bramlett,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.8686932,-85.8394199,10,,
"Beckley, WV by Masiel DeWeese",160,http://mappalachia.org/pictures/gallery/full_size/map_160.jpg,Masiel DeWeese,1951,Raleigh,"Beckley, WV",Berea College Special Collections and Archives,Rights Reserved by: Masiel DeWeese,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7781702,-81.1881557,10,,
"Olive Hill, KY by Troy Greenhill",161,http://mappalachia.org/pictures/gallery/full_size/map_161.jpg,Troy Greenhill,1951,Carter,"Olive Hill, KY",Berea College Special Collections and Archives,Rights Reserved by: Troy Greenhill,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.3000809,-83.1740654,10,,
"Toler, KY by Emma L. Maynard",162,http://mappalachia.org/pictures/gallery/full_size/map_162.jpg,Emma L. Maynard,1952,Pike,"Toler, KY",Berea College Special Collections and Archives,Rights Reserved by: Emma L. Maynard,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6373247,-82.252362,10,,
"Erwin, TN by Hobert Hampton",163,http://mappalachia.org/pictures/gallery/full_size/map_163.jpg,Hobert Hampton,1952,Unicoi,"Erwin, TN",Berea College Special Collections and Archives,Rights Reserved by: Hobert Hampton,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.1451082,-82.4168055,10,,
"Belfry, KY by Janet Colleen Murphy",164,http://mappalachia.org/pictures/gallery/full_size/map_164.jpg,Janet Colleen Murphy,1952,Pike,"Belfry, KY",Berea College Special Collections and Archives,Rights Reserved by: Janet Colleen Murphy,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6203804,-82.2690293,10,,
"Lancaster, KY by Jesse Thomas",165,http://mappalachia.org/pictures/gallery/full_size/map_165.jpg,Jesse Thomas,1952,Garrard,"Lancaster, KY",Berea College Special Collections and Archives,Rights Reserved by: Jesse Thomas,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6195246,-84.5779957,10,,
"Linefork, KY by Wallace Halcomb",166,http://mappalachia.org/pictures/gallery/full_size/map_166.jpg,Wallace Halcomb,1952,Letcher,"Linefork, KY",Berea College Special Collections and Archives,Rights Reserved by: Wallace Halcomb,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0198154,-82.9596061,10,,
"Fincastle, VA by Betty Hixs",167,http://mappalachia.org/pictures/gallery/full_size/map_167.jpg,Betty Hixs,1957,Botetourt,"Fincastle, VA",Berea College Special Collections and Archives,Rights Reserved by: Betty Hixs,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4992986,-79.8772647,10,,
"Whitman, KY by Bill Hardesty",168,http://mappalachia.org/pictures/gallery/full_size/map_168.jpg,Bill Hardesty,1957,Logan,"Whitman, KY",Berea College Special Collections and Archives,Rights Reserved by: Bill Hardesty,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8631755,-86.7096584,10,,
"Mars Hill, NC by Bill Hawkins",169,http://mappalachia.org/pictures/gallery/full_size/map_169.jpg,Bill Hawkins,1957,Madison,"Mars Hill, NC",Berea College Special Collections and Archives,Rights Reserved by: Bill Hawkins,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.8264981,-82.5492999,10,,
"Gadsden, AL by Bob Batie",170,http://mappalachia.org/pictures/gallery/full_size/map_170.jpg,Bob Batie,1957,Etowah,"Gadsden, AL",Berea College Special Collections and Archives,Rights Reserved by: Bob Batie,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.014264,-86.0066386,10,,
"Morehead, KY by Hedwine Kincer",171,http://mappalachia.org/pictures/gallery/full_size/map_171.jpg,Hedwine Kincer,1965,Rowan,"Morehead, KY",Berea College Special Collections and Archives,Rights Reserved by: Hedwine Kincer,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1839705,-83.4326841,10,,
"Kingsport, TN by Carol Street",172,http://mappalachia.org/pictures/gallery/full_size/map_172.jpg,Carol Street,1961,Sullivan; Hawkins,"Kingsport, TN",Berea College Special Collections and Archives,Rights Reserved by: Carol Street,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.4786561,-82.5938137,10,,
"Williamson, WV by Claire Kelly",173,http://mappalachia.org/pictures/gallery/full_size/map_173.jpg,Claire Kelly,1961,Mingo,"Williamson, WV",Berea College Special Collections and Archives,Rights Reserved by: Claire Kelly,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6742682,-82.2773629,10,,
"Berea, KY by Charles S. Davidson",174,http://mappalachia.org/pictures/gallery/full_size/map_174.jpg,Charles S. Davidson,1967,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Charles S. Davidson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Rice Station, KY by Hope Worrell",175,http://mappalachia.org/pictures/gallery/full_size/map_175.jpg,Hope Worrell,1968,Estill,"Rice Station, KY",Berea College Special Collections and Archives,Rights Reserved by: Hope Worrell,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7041069,-84.0374602,10,,
"Elizabeth, KY by John K. Londan",176,http://mappalachia.org/pictures/gallery/full_size/map_176.jpg,John K. Londan,1969,Allegheny,"Elizabeth, KY",Berea College Special Collections and Archives,Rights Reserved by: John K. Londan,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6452126,-85.9323067,10,,
"Williamsburg, KY by Lena Prewitt",177,http://mappalachia.org/pictures/gallery/full_size/map_177.jpg,Lena Prewitt,1969,Whitley,"Williamsburg, KY",Berea College Special Collections and Archives,Rights Reserved by: Lena Prewitt,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7434169,-84.1596561,10,,
"Sand Gap, KY by Rose M Brockman",178,http://mappalachia.org/pictures/gallery/full_size/map_178.jpg,Rose M Brockman,1952,Jackson,"Sand Gap, KY",Berea College Special Collections and Archives,Rights Reserved by: Rose M Brockman,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4861962,-84.0904852,10,,
"Kenova, WV by Ann Lewis",179,http://mappalachia.org/pictures/gallery/full_size/map_179.jpg,Ann Lewis,,Wayne,"Kenova, WV",Berea College Special Collections and Archives,Rights Reserved by: Ann Lewis,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.3989711,-82.5782139,10,,
"Williamson, WV by Ann Runyon",180,http://mappalachia.org/pictures/gallery/full_size/map_180.jpg,Ann Runyon,,Mingo,"Williamson, WV",Berea College Special Collections and Archives,Rights Reserved by: Ann Runyon,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6742682,-82.2773629,10,,
"Berea, KY by Betty Thompson",181,http://mappalachia.org/pictures/gallery/full_size/map_181.jpg,Betty Thompson,1965,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Betty Thompson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Corbin, KY by John Shotwell",182,http://mappalachia.org/pictures/gallery/full_size/map_182.jpg,John Shotwell,1965,Whitley & Knox,"Corbin, KY",Berea College Special Collections and Archives,Rights Reserved by: John Shotwell,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9160824,-84.1221094,10,,
"Trammel, VA by Arthur Williams Jr.",184,http://mappalachia.org/pictures/gallery/full_size/map_184.jpg,Arthur Williams Jr.,,Dickenson,"Trammel, VA",Berea College Special Collections and Archives,Rights Reserved by: Arthur Williams Jr.,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0145499,-82.2937534,10,,
"Berea, KY by Becky Henderson",185,http://mappalachia.org/pictures/gallery/full_size/map_185.jpg,Becky Henderson,,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Becky Henderson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Bristol, TN by Alan Lewis",186,http://mappalachia.org/pictures/gallery/full_size/map_186.jpg,Alan Lewis,,Sullivan,"Bristol, TN",Berea College Special Collections and Archives,Rights Reserved by: Alan Lewis,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.5951059,-82.1887444,10,,
"Staunton, VA by Bernard Furry",187,http://mappalachia.org/pictures/gallery/full_size/map_187.jpg,Bernard Furry,,Augusta,"Staunton, VA",Berea College Special Collections and Archives,Rights Reserved by: Bernard Furry,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1678331,-79.0569624,10,,
"Poplarville, KY by Beecher Hines",188,http://mappalachia.org/pictures/gallery/full_size/map_188.jpg,Beecher Hines,,Pulaski,"Poplarville, KY",Berea College Special Collections and Archives,Rights Reserved by: Beecher Hines,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0242472,-84.4377158,10,,
"Staunton, VA by Bernard Furry",189,http://mappalachia.org/pictures/gallery/full_size/map_189.jpg,Bernard Furry,,Augusta,"Staunton, VA",Berea College Special Collections and Archives,Rights Reserved by: Bernard Furry,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1678331,-79.0569624,10,,
"Wheelwright, KY by Bill Hall",190,http://mappalachia.org/pictures/gallery/full_size/map_190.jpg,Bill Hall,,Floyed,"Wheelwright, KY",Berea College Special Collections and Archives,Rights Reserved by: Bill Hall,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3326024,-82.7209904,10,,
"Trammel, VA by Arthur Williams Jr.",191,http://mappalachia.org/pictures/gallery/full_size/map_191.jpg,Arthur Williams Jr.,,Dickenson,"Trammel, VA",Berea College Special Collections and Archives,Rights Reserved by: Arthur Williams Jr.,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0145499,-82.2937534,10,,
"Wheelwright, KY by Bill Banks",194,http://mappalachia.org/pictures/gallery/full_size/map_194.jpg,Bill Banks,,Floyd,"Wheelwright, KY",Berea College Special Collections and Archives,Rights Reserved by: Bill Banks,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3326024,-82.7209904,10,,
"Wheelwright, KY by Bill Hall",195,http://mappalachia.org/pictures/gallery/full_size/map_195.jpg,Bill Hall,,Floyd,"Wheelwright, KY",Berea College Special Collections and Archives,Rights Reserved by: Bill Hall,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3326024,-82.7209904,10,,
"Berea, KY by David Henderson",196,http://mappalachia.org/pictures/gallery/full_size/map_196.jpg,David Henderson,,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: David Henderson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Buffalo, KY by David S Thomas",197,http://mappalachia.org/pictures/gallery/full_size/map_197.jpg,David S Thomas,,Laurel,"Buffalo, KY",Berea College Special Collections and Archives,Rights Reserved by: David S Thomas,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.979814,-83.2171188,10,,
"Kimball, WV by Dean Jones",198,http://mappalachia.org/pictures/gallery/full_size/map_198.jpg,Dean Jones,,McDowell,"Kimball, WV",Berea College Special Collections and Archives,Rights Reserved by: Dean Jones,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4256698,-81.5067713,10,,
"Lost Creek, KY by Doris Watts",199,http://mappalachia.org/pictures/gallery/full_size/map_199.jpg,Doris Watts,1963,Breathitt,"Lost Creek, KY",Berea College Special Collections and Archives,Rights Reserved by: Doris Watts,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4790876,-83.3228226,10,,
"Berea, KY by Donald R Thomas	",200,http://mappalachia.org/pictures/gallery/full_size/map_200.jpg,"Donald R Thomas	",,Madison,"Berea, KY",Berea College Special Collections and Archives,"Rights Reserved by: Donald R Thomas	",Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Tango, WV by Dorothy Chandler",202,http://mappalachia.org/pictures/gallery/full_size/map_202.jpg,Dorothy Chandler,,Lincoln,"Tango, WV",Berea College Special Collections and Archives,Rights Reserved by: Dorothy Chandler,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.252317,-81.9262411,10,,
"Keyser, KY by Bonnie J. Baker",203,http://mappalachia.org/pictures/gallery/full_size/map_203.jpg,Bonnie J. Baker,1965,Mineral,"Keyser, KY",Berea College Special Collections and Archives,Rights Reserved by: Bonnie J. Baker,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.4409277,-78.9739156,10,,
