Title,Identifier,Creator,Date,Subject,Source,Rights,Format,Language,Type,Coverage,,Image
map_159,159,Mary Catherine Bramlett,1951,"Stevenson, AL",Berea College Special Collections and Archives,Rights Reserved by: Mary Catherine Bramlett,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_160,160,Masiel DeWeese,1951,"Beckley, WV",Berea College Special Collections and Archives,Rights Reserved by: Masiel DeWeese,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_161,161,Troy Greenhill,1951,"Olive Hill, KY",Berea College Special Collections and Archives,Rights Reserved by: Troy Greenhill,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_162,162,Emma L. Maynard,1952,"Toler, KY",Berea College Special Collections and Archives,Rights Reserved by: Emma L. Maynard,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_163,163,Hobert Hampton,1952,"Erwin, TN",Berea College Special Collections and Archives,Rights Reserved by: Hobert Hampton,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_164,164,Janet Colleen Murphy,1952,"Belfry, KY",Berea College Special Collections and Archives,Rights Reserved by: Janet Colleen Murphy,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_165,165,Jesse Thomas,1952,"Lancaster, KY",Berea College Special Collections and Archives,Rights Reserved by: Jesse Thomas,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_166,166,Wallace Halcomb,1952,"Linefork, KY",Berea College Special Collections and Archives,Rights Reserved by: Wallace Halcomb,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_167,167,Betty Hixs,1957,"Fincastle, VA",Berea College Special Collections and Archives,Rights Reserved by: Betty Hixs,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_168,168,Bill Hardesty,1957,"Whitman, KY",Berea College Special Collections and Archives,Rights Reserved by: Bill Hardesty,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_169,169,Bill Hawkins,1957,"Mars Hill, NC",Berea College Special Collections and Archives,Rights Reserved by: Bill Hawkins,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_170,170,Bob Batie,1957,"Gadsden, AL",Berea College Special Collections and Archives,Rights Reserved by: Bob Batie,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_171,171,Hedwine Kincer,1965,"Morehead, KY",Berea College Special Collections and Archives,Rights Reserved by: Hedwine Kincer,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_172,172,Carol Street,1961,"Kingsport, TN",Berea College Special Collections and Archives,Rights Reserved by: Carol Street,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_173,173,Claire Kelly,1961,"Williamson, WV",Berea College Special Collections and Archives,Rights Reserved by: Claire Kelly,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
